name,type,descriptor
dataset-resized/trash/trash1.jpg,0,"[[ 32.   1.   1.   0. ...   0.   1.   6.   7.]
 [101.  18.   3.  10. ...  57.  75.  41.  21.]
 [  3.   0.  39.  86. ...   0.   0.   5.  15.]
 [ 21.  84.  51.   8. ... 100.  32.   2.   4.]
 ...
 [  0.   0.   0.   3. ...   0.   3.   4.  10.]
 [  1.   4.   5.  10. ...   0.   0.   0.  12.]
 [  2.   0.   0.   0. ...  33.   5.   6.   1.]
 [ 30.   4.   7.   1. ...   1.   0.   0.   0.]]"
dataset-resized/trash/trash2.jpg,0,"[[133.  64.   1.   0. ...   0.   1.   0.   8.]
 [  0.   2.  63. 138. ...   0.   0.   2.  36.]
 [  0.   0.   0.   0. ...   0.   0.   0.   1.]
 [  0.   3.   6.   5. ...   0.   0.   1.  14.]
 ...
 [  2.   0.   1.  19. ...   0.   0.  15.  14.]
 [  0.   1.   7.  14. ...   3.   1.   0.   3.]
 [  0.   0.   4.  28. ...   0.   0.   1.  75.]
 [133.  53.  11.   5. ...   0.   0.   0.   0.]]"
dataset-resized/trash/trash3.jpg,0,"[[ 0.  0.  0.  3. ... 34.  0.  0.  0.]
 [ 0.  0.  0.  4. ...  0.  0.  0.  9.]
 [ 3.  2.  0.  3. ...  0.  0.  0.  2.]
 [23.  1.  0. 20. ...  0.  0.  0.  5.]
 ...
 [ 0.  0.  0.  0. ...  0.  0.  1. 20.]
 [48. 20.  0.  0. ... 17. 13.  1.  1.]
 [68.  2.  0.  0. ... 20. 10.  0.  0.]
 [ 7.  3.  0.  4. ... 58. 34.  0.  0.]]"
dataset-resized/trash/trash4.jpg,0,"[[ 27. 133. 147.   0. ...   0.   0.   0.   0.]
 [ 21. 116.  34.   0. ...   0.   0.   0.   0.]
 [ 82. 157.  14.   0. ...  10.   2.   0.   0.]
 [ 68. 108.   1.   0. ...   9.   1.   0.   4.]
 ...
 [ 20.  11.   1.   0. ...   2.   4.   4.   0.]
 [  0.   0.   0.   0. ...  37.  71.   7.   1.]
 [  0.   0.   0.   0. ...   1.   8.   4.   5.]
 [  1.   2.  46. 118. ...   0.   0.   1.  17.]]"
dataset-resized/trash/trash5.jpg,0,"[[ 4. 42. 42.  0. ...  3.  0.  0.  1.]
 [ 0. 12. 56.  2. ... 10.  0.  0.  3.]
 [35.  3.  0.  0. ...  1.  2. 97. 17.]
 [ 0.  0.  0.  0. ...  2.  2.  1.  3.]
 ...
 [22.  8.  3.  2. ...  1.  0.  0.  1.]
 [37. 27. 17.  4. ...  3.  1.  2.  1.]
 [60. 37.  6.  0. ...  6.  3.  1.  0.]
 [ 0.  0.  0.  0. ...  3.  1.  4.  7.]]"
dataset-resized/trash/trash6.jpg,0,"[[ 4.  7.  7.  6. ...  0.  2.  5.  6.]
 [20.  4.  2.  4. ...  0.  0.  4. 15.]
 [ 0.  2.  2.  8. ...  5.  2.  2.  2.]
 [55.  9.  0.  0. ...  6.  3.  1.  1.]
 ...
 [94. 23. 35. 15. ...  2.  0.  0.  0.]
 [ 5. 16.  7.  0. ...  0.  0.  0.  0.]
 [ 0.  0.  0.  1. ...  0.  7. 13.  0.]
 [ 0.  0.  0.  0. ...  7.  1.  0.  1.]]"
dataset-resized/trash/trash7.jpg,0,"[[  3.   5.  12.  13. ...   5.   0.   0.   0.]
 [ 24.  14.  21.  20. ...   2.   0.   0.   0.]
 [ 15.   4.   3.  22. ...   1.   0.   0.   0.]
 [ 20.  82.  34.   0. ...   0.   1.   3.   1.]
 ...
 [ 25. 100.  89.   3. ...   0.   0.   0.   0.]
 [  1.   0.   0.   1. ...   6.   1.   1.   7.]
 [  1.  20.  19.   0. ...   0.   0.   0.   0.]
 [  2.   3.  37. 114. ...   0.   0.   0.   0.]]"
dataset-resized/trash/trash8.jpg,0,"[[ 0.  0.  7. 34. ...  0.  0.  0.  5.]
 [93. 10.  0.  3. ...  1.  0.  0.  0.]
 [19.  3.  0.  7. ...  2.  0.  0.  0.]
 [42. 70.  0.  0. ...  6.  3.  0.  0.]
 ...
 [ 9. 11.  0.  0. ...  0.  1.  0.  1.]
 [20. 10.  2.  2. ...  0.  1.  2.  4.]
 [48. 37.  1.  1. ...  1.  3.  2.  1.]
 [51. 69.  7.  0. ...  0.  0.  0.  0.]]"
dataset-resized/trash/trash9.jpg,0,"[[ 98.  79.  10.   0. ...   1.   2.   0.   0.]
 [ 50.  71.  26.  49. ...   0.   0.   0.   1.]
 [109.  24.   0.   0. ...   1.   0.   0.   2.]
 [ 35.   8.  14.  32. ...   0.   0.   0.   0.]
 ...
 [  0.   3.  42.  37. ...   0.   1.   0.   1.]
 [  1.   0.   0.   0. ...   0.   0.   1.   3.]
 [  1.   0.   0.   0. ...   0.   0.   0.   1.]
 [  2.  60. 156.  51. ...   0.   0.   0.   0.]]"
dataset-resized/trash/trash10.jpg,0,"[[  3.   0.   1.   6. ...   1.   0.   0.   4.]
 [ 61. 156.  55.   0. ...   0.   0.   5.   9.]
 [ 76.  50.   5.   2. ...   0.   0.   3.   9.]
 [  1. 136.  96.   0. ...   0.   0.   5.   9.]
 ...
 [135.  43.   0.   0. ...   0.   0.   0.   1.]
 [ 17.  32.   1.   0. ...   0.   0.   0.  35.]
 [ 21. 159.  22.   0. ...   0.   0.   0.   0.]
 [102. 102.   0.   0. ...   0.   0.   0.   0.]]"
